,ticker,stockRating,valuation,financialHealth,businessModel,businessOperation,rsRating,taScore,highestPrice,lowestPrice,priceChange3m,priceChange1y,beta,alpha,businessModel_delme,businessEfficiency,assetQuality,cashFlowQuality,bom,businessAdministration,productService,businessAdvantage,companyPosition,industry,operationRisk,industryEn,loanGrowth,depositGrowth,netInterestIncomeGrowth,netInterestMargin,costToIncome,netIncomeTOI,businessOperation_delme,avgROE,avgROA,last5yearsNetProfitGrowth,last5yearsRevenueGrowth,last5yearsOperatingProfitGrowth,last5yearsEBITDAGrowth,last5yearsFCFFGrowth,lastYearGrossProfitMargin,lastYearOperatingProfitMargin,lastYearNetProfitMargin,TOIGrowth,industryEn_delme,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth_delme,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA,industryEn_delme,valuation_delme,pe,pb,ps,evebitda,dividendRate,industryEn_delme,loanDeposit_delme,badLoanGrossLoan_delme,badLoanAsset_delme,provisionBadLoan_delme,financialHealth_delme,netDebtEquity_delme,currentRatio_delme,quickRatio_delme,interestCoverage_delme,netDebtEBITDA_delme
10,ABS,2.4,3.3,3.2,3.0,2.3,1.7,1.0,29123.3,5160.0,-0.434,-0.722,1.45,-0.0031,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Specialty Retailers,,,,,,,2.3,2.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,,Specialty Retailers,,,,,3.2,3.0,4.0,5.0,3.0,1.0,Specialty Retailers,3.3,4.0,4.0,5.0,2.0,1.0,,,,,,3.4,4.0,4.0,4.0,3.0,3.0
11,ABT,2.9,3.6,4.4,3.0,1.7,3.8,1.0,41700.0,28000.0,0.005,0.095,0.35,0.0011,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Farming & Fishing,,,,,,,1.7,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,Farming & Fishing,,,,,4.4,4.0,4.0,4.0,5.0,5.0,Farming & Fishing,4.0,5.0,4.0,4.0,3.0,4.0,,,,,,3.4,4.0,3.0,3.0,3.0,3.0
12,ACB,3.2,2.9,3.6,3.9,4.4,3.1,1.0,28600.0,17500.0,-0.029,-0.135,1.05,0.001,3.9,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,Banks,4.0,3.0,5.0,4.0,4.0,5.0,4.4,5.0,4.0,5.0,,,,,,,,5.0,Banks,1.0,4.0,5.0,5.0,3.6,,,,,,Banks,2.9,4.0,3.0,,,1.0,,2.0,3.0,4.0,3.0,3.0,,,,,
13,ACC,2.8,2.1,3.8,3.5,2.0,4.1,1.0,24834.2,10400.0,-0.329,-0.048,0.75,0.0012,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Building Materials & Fixtures,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,,Building Materials & Fixtures,,,,,3.8,4.0,5.0,5.0,4.0,1.0,Building Materials & Fixtures,2.1,2.0,4.0,2.0,1.0,1.0,,,,,,3.0,4.0,3.0,3.0,2.0,3.0
14,ACE,,3.5,3.2,,2.5,,,49400.0,29209.8,0.062,0.275,-0.08,0.0018,,,,,,,,,,,,Building Materials & Fixtures,,,,,,,2.5,5.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,,Building Materials & Fixtures,,,,,3.2,4.0,3.0,3.0,5.0,1.0,Building Materials & Fixtures,3.5,4.0,3.0,5.0,4.0,1.0,,,,,,3.0,4.0,3.0,3.0,2.0,3.0
15,ACG,2.5,3.1,4.8,,2.0,1.7,1.0,72471.2,33400.0,-0.481,-0.473,0.55,-0.0022,,,,,,,,,,,,Forestry,,,,,,,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,Forestry,,,,,4.8,4.0,5.0,5.0,5.0,5.0,Forestry,3.1,4.0,3.0,2.0,3.0,3.0,,,,,,3.2,3.0,3.0,3.0,3.0,3.0
16,ACL,2.8,4.4,4.0,3.0,2.1,2.1,1.0,33150.0,8640.0,-0.406,-0.304,1.09,0.0005,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Farming & Fishing,,,,,,,2.1,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,,Farming & Fishing,,,,,4.0,4.0,4.0,2.0,5.0,5.0,Farming & Fishing,4.1,5.0,4.0,4.0,4.0,3.0,,,,,,3.4,4.0,3.0,3.0,3.0,3.0
17,ACM,,2.0,2.8,,1.1,,,3700.0,600.0,-0.361,-0.729,0.38,-0.004,,,,,,,,,,,,General Mining,,,,,,,1.1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,General Mining,,,,,2.8,4.0,2.0,2.0,1.0,5.0,General Mining,2.0,1.0,5.0,1.0,1.0,1.0,,,,,,3.2,3.0,3.0,3.0,3.0,3.0
18,ACS,,2.3,2.0,,1.9,,,16500.0,5500.0,0.124,-0.339,0.21,0.0001,,,,,,,,,,,,Heavy Construction,,,,,,,1.9,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,,Heavy Construction,,,,,2.0,2.0,3.0,3.0,1.0,1.0,Heavy Construction,2.3,1.0,4.0,5.0,1.0,1.0,,,,,,3.0,4.0,3.0,3.0,2.0,3.0
19,ACV,2.6,1.0,4.8,3.0,2.2,2.6,2.0,96536.0,72756.0,-0.009,0.035,0.37,0.0007,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Transportation Services,,,,,,,2.2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,,Transportation Services,,,,,4.8,4.0,5.0,5.0,5.0,5.0,Transportation Services,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,3.5,4.0,4.0,4.0,3.0,3.0
20,ADC,,4.3,3.8,,2.8,,,27665.1,14900.0,-0.153,-0.283,0.03,-0.0005,,,,,,,,,,,,Publishing,,,,,,,2.8,4.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,1.0,2.0,,Publishing,,,,,3.8,5.0,4.0,4.0,1.0,5.0,Publishing,4.3,4.0,4.0,5.0,4.0,5.0,,,,,,3.7,5.0,4.0,4.0,3.0,3.0
21,ADP,2.5,3.3,4.2,3.0,2.2,1.6,1.0,26198.2,14914.0,-0.307,-0.367,0.38,-0.0003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Building Materials & Fixtures,,,,,,,2.2,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,Building Materials & Fixtures,,,,,4.2,5.0,5.0,5.0,1.0,5.0,Building Materials & Fixtures,3.4,3.0,3.0,4.0,3.0,5.0,,,,,,3.0,4.0,3.0,3.0,2.0,3.0
22,ADS,2.5,4.3,3.2,3.0,2.6,1.1,1.0,33997.5,9050.0,-0.335,-0.661,1.08,-0.0026,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Clothing & Accessories,,,,,,,2.6,4.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,,Clothing & Accessories,,,,,3.2,2.0,3.0,3.0,5.0,3.0,Clothing & Accessories,4.3,4.0,4.0,5.0,4.0,5.0,,,,,,3.4,4.0,4.0,4.0,3.0,3.0
23,AFX,2.4,2.5,3.4,3.0,1.9,1.7,2.0,17982.0,12190.0,-0.067,-0.129,0.23,-0.0001,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Food Retailers & Wholesalers,,,,,,,1.9,2.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,Food Retailers & Wholesalers,,,,,3.4,3.0,4.0,4.0,5.0,1.0,Food Retailers & Wholesalers,2.5,3.0,3.0,5.0,1.0,1.0,,,,,,3.4,4.0,4.0,4.0,3.0,3.0
24,AG1,,4.3,3.6,,1.1,,,8005.0,4400.0,-0.144,-0.369,-0.05,-0.0011,,,,,,,,,,,,Clothing & Accessories,,,,,,,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,Clothing & Accessories,,,,,3.6,4.0,3.0,2.0,5.0,4.0,Clothing & Accessories,4.3,5.0,4.0,5.0,5.0,1.0,,,,,,3.4,4.0,4.0,4.0,3.0,3.0
25,AGE,,2.5,3.6,,1.5,,,18270.6,9876.0,-0.288,0.316,-0.17,0.0045,,,,,,,,,,,,Waste & Disposal Services,,,,,,,1.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,Waste & Disposal Services,,,,,3.6,5.0,3.0,4.0,1.0,5.0,Waste & Disposal Services,2.5,2.0,3.0,3.0,3.0,1.0,,,,,,3.5,4.0,4.0,4.0,3.0,3.0
26,AGF,1.6,2.5,2.0,,1.0,,1.0,4916.0,1900.0,-0.252,-0.539,0.06,-0.0027,,,,,,,,,,,,Farming & Fishing,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Farming & Fishing,,,,,2.0,5.0,1.0,2.0,1.0,1.0,Farming & Fishing,2.5,5.0,1.0,5.0,1.0,1.0,,,,,,3.4,4.0,3.0,3.0,3.0,3.0
27,AGG,2.8,3.0,4.2,3.6,2.6,2.4,1.0,47545.9,28636.7,-0.046,0.0,0.31,0.0003,3.6,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,Real Estate Holding & Development,,,,,,,2.6,4.0,2.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,,Real Estate Holding & Development,,,,,4.2,4.0,4.0,3.0,5.0,5.0,Real Estate Holding & Development,3.0,3.0,3.0,4.0,3.0,2.0,,,,,,3.6,4.0,4.0,4.0,3.0,4.0
28,AGM,2.6,3.5,2.2,3.0,3.1,2.9,1.0,62000.0,9290.0,-0.558,-0.71,0.64,-0.0036,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Food Products,,,,,,,3.1,2.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,,Food Products,,,,,2.2,1.0,4.0,4.0,1.0,1.0,Food Products,3.5,5.0,5.0,5.0,1.0,1.0,,,,,,3.4,4.0,3.0,3.0,3.0,3.0
29,AGP,3.1,3.5,3.2,3.5,3.0,2.3,,22876.0,17103.0,-0.06,0.087,0.19,0.0008,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Pharmaceuticals,,,,,,,3.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,,Pharmaceuticals,,,,,3.2,2.0,3.0,3.0,4.0,4.0,Pharmaceuticals,3.4,3.0,3.0,4.0,3.0,5.0,,,,,,3.6,4.0,4.0,4.0,3.0,3.0
30,AGR,2.4,2.5,4.0,2.3,2.9,1.7,1.0,25650.0,5760.0,-0.279,-0.664,1.72,-0.0015,2.3,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,Investment Services,,,,,,,2.9,2.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,,Investment Services,,,,,4.0,4.0,5.0,5.0,1.0,5.0,Investment Services,2.5,3.0,4.0,1.0,2.0,1.0,,1.0,2.0,3.0,2.0,4.1,4.0,5.0,5.0,4.0,4.0
31,AGX,3.0,3.6,3.2,3.5,2.6,2.2,,36661.4,30253.5,-0.04,0.003,0.09,0.0002,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Food Retailers & Wholesalers,,,,,,,2.6,3.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,,Food Retailers & Wholesalers,,,,,3.2,4.0,5.0,5.0,1.0,1.0,Food Retailers & Wholesalers,3.9,5.0,4.0,4.0,4.0,1.0,,,,,,3.4,4.0,4.0,4.0,3.0,3.0
32,AIC,2.6,2.3,3.6,,2.4,3.6,1.0,15687.0,7266.0,-0.216,-0.457,0.69,-0.0013,,,,,,,,,,,,Property & Casualty Insurance,,,,,,,2.4,1.0,2.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,,Property & Casualty Insurance,,,,,3.6,5.0,3.0,4.0,1.0,5.0,Property & Casualty Insurance,2.3,1.0,4.0,5.0,1.0,1.0,,,,,,3.6,5.0,3.0,4.0,1.0,5.0
33,ALT,2.8,3.0,5.0,,1.9,,1.5,26141.4,15500.0,-0.276,-0.106,0.47,0.0017,,,,,,,,,,,,Publishing,,,,,,,1.9,1.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,,Publishing,,,,,5.0,5.0,5.0,5.0,5.0,5.0,Publishing,3.0,1.0,5.0,5.0,3.0,1.0,,,,,,3.7,5.0,4.0,4.0,3.0,3.0
34,ALV,,5.0,4.2,,2.5,,,14617.0,2636.0,-0.372,-0.595,0.83,-0.0012,,,,,,,,,,,,Heavy Construction,,,,,,,2.5,2.0,2.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,,Heavy Construction,,,,,4.2,5.0,5.0,5.0,5.0,1.0,Heavy Construction,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,3.0,4.0,3.0,3.0,2.0,3.0
35,AMC,,3.8,4.4,,2.0,,,26769.9,19939.0,-0.043,0.007,0.06,0.0005,,,,,,,,,,,,General Mining,,,,,,,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,,General Mining,,,,,4.4,5.0,3.0,4.0,5.0,5.0,General Mining,3.8,3.0,3.0,5.0,4.0,5.0,,,,,,3.2,3.0,3.0,3.0,3.0,3.0
36,AMD,2.0,3.5,3.2,1.4,1.3,1.3,1.0,10300.0,870.0,-0.461,-0.816,1.51,-0.0046,1.4,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,Real Estate Holding & Development,,,,,,,1.3,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,Real Estate Holding & Development,,,,,3.2,4.0,5.0,5.0,1.0,1.0,Real Estate Holding & Development,3.5,5.0,5.0,5.0,1.0,1.0,,,,,,3.6,4.0,4.0,4.0,3.0,4.0
37,AME,2.7,2.5,2.6,3.5,3.2,3.2,1.0,15900.0,9700.0,-0.028,-0.07,0.16,0.0005,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Electronic Equipment,,,,,,,3.2,2.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,,Electronic Equipment,,,,,2.6,3.0,3.0,3.0,2.0,2.0,Electronic Equipment,2.5,2.0,4.0,5.0,1.0,1.0,,,,,,3.5,4.0,4.0,4.0,3.0,3.0
38,AMP,,2.8,2.4,3.5,1.2,,,19500.0,9500.0,0.147,-0.441,-0.04,-0.0021,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Pharmaceuticals,,,,,,,1.2,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Pharmaceuticals,,,,,2.4,2.0,3.0,3.0,3.0,1.0,Pharmaceuticals,2.8,1.0,4.0,5.0,1.0,5.0,,,,,,3.6,4.0,4.0,4.0,3.0,3.0
39,AMS,2.9,3.8,2.6,3.5,2.9,3.6,1.0,17016.0,5572.0,-0.187,-0.594,0.76,-0.0025,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Industrial Suppliers,,,,,,,2.9,2.0,2.0,4.0,5.0,3.0,3.0,5.0,1.0,2.0,2.0,,Industrial Suppliers,,,,,2.6,2.0,3.0,2.0,3.0,3.0,Industrial Suppliers,3.8,4.0,5.0,5.0,3.0,1.0,,,,,,3.5,4.0,4.0,4.0,3.0,3.0
40,AMV,3.1,3.9,5.0,3.5,4.3,1.1,1.0,18369.4,2700.0,-0.493,-0.779,1.62,-0.0023,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Medical Equipment,,,,,,,4.3,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,Medical Equipment,,,,,5.0,5.0,5.0,5.0,5.0,5.0,Medical Equipment,3.9,5.0,5.0,2.0,4.0,1.0,,,,,,3.6,4.0,4.0,4.0,3.0,3.0
41,ANT,,3.8,2.2,,2.1,,,20848.0,7900.0,-0.373,-0.619,0.4,-0.0025,,,,,,,,,,,,Food Products,,,,,,,2.1,4.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,Food Products,,,,,2.2,3.0,3.0,3.0,1.0,1.0,Food Products,3.8,4.0,4.0,5.0,4.0,1.0,,,,,,3.4,4.0,3.0,3.0,3.0,3.0
42,ANV,2.8,3.8,3.4,3.0,2.9,2.6,1.0,61559.7,16100.0,-0.507,-0.273,1.29,0.0011,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Farming & Fishing,,,,,,,2.9,2.0,2.0,5.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,,Farming & Fishing,,,,,3.4,3.0,3.0,2.0,5.0,4.0,Farming & Fishing,3.5,4.0,3.0,4.0,3.0,4.0,,,,,,3.4,4.0,3.0,3.0,3.0,3.0
43,APC,2.5,3.3,3.8,3.6,2.0,1.3,1.0,30750.0,12000.0,-0.209,-0.429,0.66,-0.0012,3.6,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,Biotechnology,,,,,,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,,Biotechnology,,,,,3.8,4.0,5.0,5.0,2.0,3.0,Biotechnology,3.4,5.0,5.0,2.0,2.0,1.0,,,,,,3.6,4.0,4.0,4.0,3.0,3.0
44,APF,3.0,4.3,3.6,3.0,2.8,3.4,1.0,72821.0,46568.6,-0.089,0.179,0.27,0.0011,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Food Products,,,,,,,2.8,5.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,,Food Products,,,,,3.6,2.0,3.0,3.0,5.0,5.0,Food Products,4.3,5.0,3.0,5.0,4.0,5.0,,,,,,3.4,4.0,3.0,3.0,3.0,3.0
45,APG,3.0,3.1,5.0,3.0,3.8,1.3,2.0,20700.0,2520.0,-0.182,-0.695,1.7,-0.0019,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Investment Services,,,,,,,3.8,2.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,,Investment Services,,,,,5.0,5.0,5.0,5.0,5.0,5.0,Investment Services,3.1,4.0,4.0,2.0,3.0,1.0,,1.0,2.0,3.0,2.0,4.1,4.0,5.0,5.0,4.0,4.0
46,APH,2.2,3.3,3.6,3.0,1.2,1.2,1.0,30720.0,5550.0,-0.358,-0.739,1.54,-0.0028,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Containers & Packaging,,,,,,,1.2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,Containers & Packaging,,,,,3.6,3.0,4.0,4.0,3.0,4.0,Containers & Packaging,3.3,1.0,5.0,5.0,3.0,3.0,,,,,,3.5,4.0,4.0,4.0,3.0,3.0
47,API,2.6,3.0,3.6,3.5,2.8,1.7,1.0,37723.5,5400.0,-0.415,-0.682,2.05,-0.0005,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Real Estate Holding & Development,,,,,,,2.8,5.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,3.0,,Real Estate Holding & Development,,,,,3.6,3.0,3.0,3.0,5.0,4.0,Real Estate Holding & Development,3.3,5.0,3.0,3.0,3.0,1.0,,,,,,3.6,4.0,4.0,4.0,3.0,4.0
48,APL,,2.8,2.2,,1.6,,,27564.8,17168.4,0.0,0.256,0.01,0.0013,,,,,,,,,,,,Industrial Machinery,,,,,,,1.6,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,Industrial Machinery,,,,,2.2,2.0,3.0,4.0,1.0,1.0,Industrial Machinery,2.8,2.0,3.0,5.0,3.0,1.0,,,,,,3.5,4.0,4.0,4.0,3.0,3.0
49,APP,,3.5,3.2,,1.7,,,16200.0,4700.0,-0.293,-0.569,0.35,-0.0017,,,,,,,,,,,,Specialty Chemicals,,,,,,,1.7,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,Specialty Chemicals,,,,,3.2,3.0,3.0,3.0,4.0,3.0,Specialty Chemicals,3.5,4.0,5.0,5.0,2.0,1.0,,,,,,3.7,4.0,4.0,4.0,3.0,4.0
50,APS,2.8,3.4,4.2,3.0,3.9,1.2,1.0,40900.0,4200.0,-0.255,-0.721,2.45,-0.0002,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Investment Services,,,,,,,3.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,,Investment Services,,,,,4.2,5.0,5.0,5.0,1.0,5.0,Investment Services,3.4,4.0,4.0,2.0,4.0,1.0,,1.0,2.0,3.0,2.0,4.1,4.0,5.0,5.0,4.0,4.0
